Periodo,TRM,Tasa,Flujos_Financieros,TRM_Var,Tasa_Var,Volatilidad_TRM,Volatilidad_Tasa,Score_Riesgo,Riesgo_Label,fecha,Prob_Crisis,Regimen,Alerta
2016-08-01,2952.7667741935484,7.75,-4.72,-0.2780447187681556,0.25,0.5433915448812549,0.0707372437959034,0.2385777910912729,0,2016-08,0.00497593211429698,0,VERDE
2016-09-01,2924.2653333333333,7.75,-2.28,-0.9652452441997972,0.0,0.4282928311765787,0.1294575577525529,0.2101546277963973,0,2016-09,0.010412061106338199,0,VERDE
2016-10-01,2929.3887096774192,7.75,-2.28,0.1752021708045781,0.0,0.5742092550413905,0.144337567297394,0.2729849722057744,0,2016-10,0.08428548301782146,0,VERDE
2016-11-01,3110.2586666666666,7.75,-2.28,6.17432423330273,0.0,3.835438657034073,0.0,1.5341754628136293,2,2016-11,0.8801526407159281,1,ROJA
2016-12-01,3009.863870967742,7.645161290322581,-0.25,-3.2278600096795174,-0.104838709677419,4.76045106868346,0.0605286572537236,1.9223390496495008,2,2016-12,0.9991359805184619,1,ROJA
2017-01-01,2941.3993548387098,7.5,-0.25,-2.274671515526694,-0.1451612903225809,5.175183829393675,0.0749320422836688,2.092553144442571,2,2017-01,0.9989273772499911,1,ROJA
2017-02-01,2879.5667857142857,7.482142857142857,-0.25,-2.1021480480951094,-0.0178571428571432,0.6062947677840986,0.065061572680908,0.2620363789179118,0,2017-02,0.13568617400593078,0,VERDE
2017-03-01,2942.286129032258,7.209677419354839,-2.78,2.1780826070479486,-0.2724654377880178,2.522470947442425,0.1273041474654252,1.0471799012165974,2,2017-03,0.0602043297667303,0,VERDE
2017-04-01,2877.8216666666663,7.0,-2.78,-2.1909651046342904,-0.2096774193548389,2.497226489451665,0.1326415832120573,1.0386830707442831,2,2017-04,0.02757929517339683,0,VERDE
2017-05-01,2923.6129032258063,6.5,-2.78,1.5911770034096495,-0.5,2.371273744213467,0.1527533486224407,0.994335502272119,2,2017-05,0.01236211348409613,0,VERDE
2017-06-01,2957.0983333333334,6.25,-1.48,1.145344175714258,-0.25,2.066975465498232,0.1572752954441857,0.8739729228325487,1,2017-06,0.004991815964233527,0,VERDE
2017-07-01,3036.5838709677423,5.766129032258065,-1.48,2.687957202451585,-0.483870967741935,0.7938669772618321,0.1399141255878738,0.359521028581095,0,2017-07,0.002120847141113379,0,VERDE
2017-08-01,2973.204838709677,5.5,-1.48,-2.087182009494981,-0.2661290322580649,2.4368981301986063,0.1306186087446812,1.013944834702847,2,2017-08,0.006916477878309809,0,VERDE
2017-09-01,2917.085,5.25,-3.45,-1.8875200920913549,-0.25,2.7011359291851327,0.1306186087446812,1.1196402992974577,2,2017-09,0.009759291623472355,0,VERDE
2017-10-01,2953.7558064516134,5.233870967741935,-3.45,1.2571044879259086,-0.0161290322580649,1.8758456229721112,0.1399141255878719,0.7923124868652061,1,2017-10,0.00396133658546667,0,VERDE
2017-11-01,3013.4666666666667,4.966666666666667,-3.45,2.0215232445631504,-0.2672043010752682,2.0717794120268764,0.1402559613347745,0.870788553211183,1,2017-11,0.0036650408359870765,0,VERDE
2017-12-01,2991.7619354838707,4.75,-2.26,-0.7202578818236827,-0.2166666666666667,1.4149005690513852,0.1327956989247193,0.6057991632979699,1,2017-12,0.0038063639270751346,0,VERDE
2018-01-01,2868.5722580645165,4.733870967741935,-2.26,-4.117629680298418,-0.0161290322580649,3.0754050550813328,0.1327956989247193,1.2700007317099489,2,2018-01,0.01810996881062802,0,VERDE
2018-02-01,2860.252857142857,4.5,-2.26,-0.2900188725687758,-0.233870967741935,2.096737355893871,0.1210529369449098,0.8750108234410213,1,2018-02,0.007349873403981778,0,VERDE
2018-03-01,2847.9306451612906,4.5,0.33,-0.4308084843196447,0.0,2.1703715788371403,0.1306186087446791,0.9073342471582598,1,2018-03,0.0060899303204130315,0,VERDE
2018-04-01,2766.2850000000003,4.491666666666666,0.33,-2.866841062299341,-0.0083333333333337,1.448797721862467,0.132685278341647,0.6193246722474809,1,2018-04,0.008703161631419976,0,VERDE
2018-05-01,2861.825806451613,4.25,0.33,3.453758613144076,-0.2416666666666662,3.187844007917461,0.1371839802762739,1.316292797249867,2,2018-05,0.05065699977389714,0,VERDE
2018-06-01,2889.689,4.25,-5.88,0.9736159861852168,0.0,3.18460353494038,0.1371839802762739,1.3149971960590343,2,2018-06,0.05089142928881862,0,VERDE
2018-07-01,2885.3219354838707,4.25,-5.88,-0.1511257618425077,0.0,1.844421445279308,0.1395263150541477,0.7796264726279677,1,2018-07,0.009883903311055604,0,VERDE
2018-08-01,2958.6667741935485,4.25,-5.88,2.5419984441832355,0.0,1.3526385032837474,0.0,0.5410554013134989,1,2018-08,0.0022195979905278032,0,VERDE
2018-09-01,3033.768,4.25,-0.73,2.5383468818289456,0.0,1.5538229427258083,0.0,0.6215292500903234,1,2018-09,0.001544072145295344,0,VERDE
2018-10-01,3084.830967741935,4.25,-0.73,1.6831533506166396,0.0,0.4948036992044452,0.0,0.1979214796817781,0,2018-10,0.001198036584377881,0,VERDE
2018-11-01,3194.034333333333,4.25,-0.73,3.540011324229342,0.0,0.92939130305501,0.0,0.371756521222004,0,2018-11,0.0011669814340298924,0,VERDE
2018-12-01,3218.5509677419354,4.25,-2.79,0.7675757944347383,0.0,1.412598230355479,0.0,0.5650395711421916,1,2018-12,0.0017142187896832604,0,VERDE
2019-01-01,3165.188064516129,4.25,-2.79,-1.6579791266516652,0.0,2.6009235593510533,0.0,1.0403694237404213,2,2019-01,0.005048309152504597,0,VERDE
2019-02-01,3115.8385714285714,4.25,-2.79,-1.5591330461781516,0.0,1.3727503567545023,0.0,0.5491001427018011,1,2019-02,0.0018505042466579861,0,VERDE
2019-03-01,3128.684193548387,4.25,-4.37,0.4122685378378232,0.0,1.1677699648910536,0.0,0.4671084229564214,0,2019-03,0.0024827237282401236,0,VERDE
2019-04-01,3155.765,4.25,-4.37,0.8655653551565168,0.0,1.2891253202260111,0.0,0.5156501280904044,1,2019-04,0.013610571049136265,0,VERDE
2019-05-01,3304.4945161290325,4.25,-4.37,4.712946500421689,0.0,2.3630365570379888,0.0,0.9452146228151956,1,2019-05,0.12222339913000106,0,VERDE
