trimestre,ciiu,macrosector,var_pib_pct,var_pib_norm,momentum,momentum_norm,icds,estado,estado_nombre,vulnerabilidad,color,macrosector_id,icds_original,icds_star,ajuste_mip
2016T3,F,Construcción,4.5448,0.399351207802125,5.939649999999999,0.4882879896224913,0.4260322423482349,S3,Estabilidad,Moderada,#378ADD,M05,0.4260322423482349,0.4033,0.0228
2016T3,G + H + I,"Comercio, transporte y turismo",2.1729,0.3796423167398857,2.921875,0.4467755475136589,0.3997822859720176,S4,Decrecimiento,Media,#BA7517,M06,0.3997822859720176,0.3784,0.0213
2016T3,J,TIC y economía digital,-0.8446,0.354568924615299,0.4424749999999999,0.4126689792755897,0.3719989410133861,S4,Decrecimiento,Media,#BA7517,M07,0.3719989410133861,0.3466,0.0254
2016T3,K,Financiero y seguros,2.3631,0.3812227506030494,2.4803,0.4407012521721547,0.3990663010737809,S4,Decrecimiento,Media,#BA7517,M08,0.3990663010737809,0.3793,0.0198
2016T3,L,Inmobiliario,3.6242,0.3917016420059711,3.6047,0.4561684721959044,0.4110416910629511,S3,Estabilidad,Moderada,#378ADD,M09,0.4110416910629511,0.4043,0.0068
2016T3,M + N,Servicios profesionales,-3.5654,0.3319609096053319,-3.091375,0.364057421572879,0.341589863195596,S4,Decrecimiento,Media,#BA7517,M10,0.341589863195596,0.3244,0.0171
2016T3,O + P + Q,"Gobierno, educación y salud",0.7867,0.3681239286162396,1.51375,0.4274054130455492,0.3859083739450324,S4,Decrecimiento,Media,#BA7517,M11,0.3859083739450324,0.3644,0.0215
2016T3,R + S + T,"Arte, recreación y otros servicios",5.3419,0.4059745717996422,5.973825,0.4887581001208119,0.430809630295993,S3,Estabilidad,Moderada,#378ADD,M12,0.430809630295993,0.4132,0.0176
2016T4,A,Agropecuario,8.9297,0.4357867727158285,2.6992000000000003,0.4437124354371838,0.438164471532235,S3,Estabilidad,Moderada,#378ADD,M01,0.438164471532235,0.4254,0.0127
2016T4,B,Minería y energía,-4.167,0.3269620189003936,-2.8588,0.3672567178171191,0.3390504285754112,S4,Decrecimiento,Media,#BA7517,M02,0.3390504285754112,0.3155,0.0236
2016T4,C,Manufactura,1.4748,0.3738415760465389,3.310075,0.4521156176072373,0.3973237885147484,S4,Decrecimiento,Media,#BA7517,M03,0.3973237885147484,0.3702,0.0272
2016T4,D + E,Electricidad y servicios públicos,0.5768,0.3663798010248723,-0.004775,0.40651661876721,0.3784208463475735,S4,Decrecimiento,Media,#BA7517,M04,0.3784208463475735,0.348,0.0304
2016T4,F,Construcción,-0.7223,0.35558515522237,3.765725,0.4583835283185692,0.3864246671512298,S4,Decrecimiento,Media,#BA7517,M05,0.3864246671512298,0.3618,0.0246
2016T4,G + H + I,"Comercio, transporte y turismo",2.5821,0.3830424930637898,2.702425,0.4437567984615316,0.4012567846831123,S3,Estabilidad,Moderada,#378ADD,M06,0.4012567846831123,0.3805,0.0207
2016T4,J,TIC y economía digital,-2.6554,0.3395223965426555,-0.5803500000000001,0.3985990225690868,0.3572453843505848,S4,Decrecimiento,Media,#BA7517,M07,0.3572453843505848,0.3323,0.025
2016T4,K,Financiero y seguros,5.7886,0.4096863478599746,2.968275,0.4474138248252046,0.4210045909495435,S3,Estabilidad,Moderada,#378ADD,M08,0.4210045909495435,0.4038,0.0172
2016T4,L,Inmobiliario,3.2947,0.3889637189885555,3.529875,0.4551391812511542,0.4088163576673351,S3,Estabilidad,Moderada,#378ADD,M09,0.4088163576673351,0.4021,0.0067
2016T4,M + N,Servicios profesionales,-0.9461,0.3537255279953667,-2.47445,0.3725438274010111,0.35937101781706,S4,Decrecimiento,Media,#BA7517,M10,0.35937101781706,0.3434,0.016
2016T4,O + P + Q,"Gobierno, educación y salud",7.3051,0.4222874412011297,3.6378,0.4566237950194424,0.4325883473466235,S3,Estabilidad,Moderada,#378ADD,M11,0.4325883473466235,0.4142,0.0183
2016T4,R + S + T,"Arte, recreación y otros servicios",4.1563,0.3961230345327292,5.591225,0.4834950634958683,0.4223346432216709,S3,Estabilidad,Moderada,#378ADD,M12,0.4223346432216709,0.4048,0.0175
2017T1,A,Agropecuario,11.1805,0.4544894043625625,5.649275,0.4842935979341276,0.4634306624340319,S3,Estabilidad,Moderada,#378ADD,M01,0.4634306624340319,0.4507,0.0127
2017T1,B,Minería y energía,-8.1923,0.2935144877258786,-4.6193,0.3430393211150457,0.3083719377426287,S4,Decrecimiento,Media,#BA7517,M02,0.3083719377426287,0.282,0.0264
2017T1,C,Manufactura,0.6381,0.3668891627273535,2.386125,0.4394057830813181,0.3886441488335429,S4,Decrecimiento,Media,#BA7517,M03,0.3886441488335429,0.3606,0.028
2017T1,D + E,Electricidad y servicios públicos,0.5088,0.3658147668361492,-0.15475,0.4044535661853336,0.3774064066409045,S4,Decrecimiento,Media,#BA7517,M04,0.3774064066409045,0.3456,0.0318
2017T1,F,Construcción,-4.3497,0.3254439049845156,0.5110250000000001,0.4136119514675392,0.3518943189294226,S4,Decrecimiento,Media,#BA7517,M05,0.3518943189294226,0.3237,0.0282
2017T1,G + H + I,"Comercio, transporte y turismo",1.2235,0.3717534423461549,2.114275,0.4356662208583936,0.3909272758998265,S4,Decrecimiento,Media,#BA7517,M06,0.3909272758998265,0.369,0.0219
2017T1,J,TIC y economía digital,-1.3764,0.3501500248864323,-1.008625,0.3927076817155904,0.3629173219351797,S4,Decrecimiento,Media,#BA7517,M07,0.3629173219351797,0.3386,0.0243
2017T1,K,Financiero y seguros,2.3814,0.3813748112744263,2.994375,0.447772855812949,0.4012942246359831,S3,Estabilidad,Moderada,#378ADD,M08,0.4012942246359831,0.3824,0.0189
2017T1,L,Inmobiliario,3.2517,0.3886064179574512,3.489975,0.4545903177871311,0.4084015879063552,S3,Estabilidad,Moderada,#378ADD,M09,0.4084015879063552,0.4011,0.0073
2017T1,M + N,Servicios profesionales,0.2702,0.3638321615798356,-1.633575,0.3841108841757092,0.3699157783585977,S4,Decrecimiento,Media,#BA7517,M10,0.3699157783585977,0.3541,0.0158
2017T1,O + P + Q,"Gobierno, educación y salud",3.2078,0.3882416385326727,3.975625,0.461270907794721,0.4101504193112871,S3,Estabilidad,Moderada,#378ADD,M11,0.4101504193112871,0.3905,0.0197
2017T1,R + S + T,"Arte, recreación y otros servicios",2.9706,0.3862706663331857,4.8348,0.4730896989401364,0.4123163761152709,S3,Estabilidad,Moderada,#378ADD,M12,0.4123163761152709,0.3939,0.0185
2017T2,A,Agropecuario,6.2916,0.4138659389912644,6.97895,0.5025845760425225,0.4404815301066418,S3,Estabilidad,Moderada,#378ADD,M01,0.4404815301066418,0.4249,0.0156
2017T2,B,Minería y energía,-4.6421,0.3230142579730063,-4.526125,0.3443210342293403,0.3294062908499065,S4,Decrecimiento,Media,#BA7517,M02,0.3294062908499065,0.3039,0.0255
2017T2,C,Manufactura,-4.5565,0.323725536304693,-0.2588000000000001,0.4030222568261454,0.3475145524611287,S4,Decrecimiento,Media,#BA7517,M03,0.3475145524611287,0.3152,0.0323
2017T2,D + E,Electricidad y servicios públicos,3.1394,0.3876732806134277,0.850125,0.4182766031129087,0.396854277363272,S4,Decrecimiento,Media,#BA7517,M04,0.396854277363272,0.3686,0.0282
2017T2,F,Construcción,-1.1046,0.3524084997760636,-0.4079499999999999,0.4009705529249162,0.3669771157207194,S4,Decrecimiento,Media,#BA7517,M05,0.3669771157207194,0.3368,0.0302
2017T2,G + H + I,"Comercio, transporte y turismo",2.2844,0.3805688066228654,2.065725,0.4349983681972827,0.3968976750951906,S4,Decrecimiento,Media,#BA7517,M06,0.3968976750951906,0.3746,0.0223
2017T2,J,TIC y economía digital,0.0544,0.3620390089632703,-1.2055000000000002,0.3899994738338973,0.3704271484244583,S4,Decrecimiento,Media,#BA7517,M07,0.3704271484244583,0.3475,0.0229
2017T2,K,Financiero y seguros,7.3654,0.4227884935773062,4.474625,0.4681351400891457,0.436392487530858,S3,Estabilidad,Moderada,#378ADD,M08,0.436392487530858,0.4212,0.0152
2017T2,L,Inmobiliario,2.8168,0.3849926919475149,3.24685,0.4512458959903737,0.4048686531603725,S3,Estabilidad,Moderada,#378ADD,M09,0.4048686531603725,0.3982,0.0067
