fecha,macrosector_id,ipp_idx,ipp_var_anual
2026-04,M02,155.94,17.3717
2016-01,M03,108.47,7.8981
2016-02,M03,109.61,8.7077
2016-03,M03,109.08,6.8783
2016-04,M03,108.65,6.9179
2016-05,M03,109.07,7.5111
2016-06,M03,109.57,7.2009
2016-07,M03,109.83,6.3008
2016-08,M03,110.02,4.6116
2016-09,M03,109.99,3.921
2016-10,M03,109.88,4.1023
2016-11,M03,111.15,4.8091
2016-12,M03,110.56,2.8083
2017-01,M03,110.84,2.1849
2017-02,M03,110.78,1.0674
2017-03,M03,111.02,1.7785
2017-04,M03,110.41,1.6199
2017-05,M03,110.52,1.3294
2017-06,M03,110.46,0.8123
2017-07,M03,110.93,1.0015
2017-08,M03,111.02,0.9089
2017-09,M03,111.34,1.2274
2017-10,M03,111.55,1.5198
2017-11,M03,111.9,0.6748
2017-12,M03,112.07,1.3658
2018-01,M03,111.79,0.8571
2018-02,M03,112.35,1.4172
2018-03,M03,112.25,1.1079
2018-04,M03,112.05,1.4854
2018-05,M03,113.13,2.3616
2018-06,M03,113.36,2.6254
2018-07,M03,113.25,2.0914
2018-08,M03,113.39,2.1348
2018-09,M03,114.25,2.6136
2018-10,M03,114.84,2.9494
2018-11,M03,115.57,3.2797
2018-12,M03,115.22,2.8107
2019-01,M03,115.36,3.1935
2019-02,M03,115.72,2.9996
2019-03,M03,115.85,3.2071
2019-04,M03,116.49,3.9625
2019-05,M03,117.7,4.0396
2019-06,M03,117.2,3.3874
2019-07,M03,118.69,4.8035
2019-08,M03,119.98,5.8118
2019-09,M03,120.55,5.5142
2019-10,M03,121.07,5.4249
2019-11,M03,121.01,4.7071
2019-12,M03,121.11,5.112
2020-01,M03,121.47,5.2965
2020-02,M03,121.86,5.3059
2020-03,M03,122.77,5.9732
2020-04,M03,121.6,4.3866
2020-05,M03,121.46,3.1946
2020-06,M03,121.34,3.5324
2020-07,M03,121.79,2.6118
2020-08,M03,123.23,2.7088
2020-09,M03,123.12,2.1319
2020-10,M03,123.63,2.1145
2020-11,M03,123.15,1.7684
2020-12,M03,122.61,1.2385
2021-01,M03,124.12,2.1816
2021-02,M03,125.54,3.0199
2021-03,M03,127.3,3.6898
2021-04,M03,128.69,5.8306
2021-05,M03,130.81,7.698
2021-06,M03,132.46,9.1643
2021-07,M03,133.9,9.9433
2021-08,M03,135.37,9.8515
2021-09,M03,136.28,10.6888
2021-10,M03,137.71,11.3888
2021-11,M03,140.31,13.9342
2021-12,M03,142.03,15.8388
2022-01,M03,144.81,16.6694
2022-02,M03,147.48,17.4765
2022-03,M03,149.69,17.5884
2022-04,M03,153.2,19.0458
2022-05,M03,156.99,20.0138
2022-06,M03,156.36,18.0432
